Sample	failed	passed	total
C1	18000	15538	33538
C2	17957	15581	33538
C3	17153	16385	33538
C4	17655	15883	33538
CT1	17081	16457	33538
CT2	17747	15791	33538
CT3	18140	15398	33538
CT4	17767	15771	33538
NC1	18162	15376	33538
NC2	17739	15799	33538
NC3	18350	15188	33538
NC4	17324	16214	33538
Final_Features	20294	13244	33538
